No.	英単語	意味	処理用	例文1	例文1（日本語）
44.1	treatment	取り扱い，待遇，治療			
45	establish	設立する，創立する(=found)			
45.1	establishment	施設，組織，設立，支配層，上層部			
46	relate	関係がある，〜を述べる			
46.1	relation	関係			
46.2	relationship	（親密な人間）関係			
46.3	correlation	相関，相互関係			
47	compare	AとBを比較する(+A with B)，AをBにたとえる(+A to B)，匹敵する			
47.1	comparison	比較，たとえ			
47.2	comparatively	比較的，かなり			
47.3	comparable	比較できる，同等の			
48	spread	～を広げる，広がる，広がり，広めること			
49	refer	Aを指示する，Aに言及する，Aを参照する(+to A)			
49.1	reference	言及，参照			
50	supply	～を供給する，支給する，供給			
51	gain	～を得る，もうける，〜を増す，利益，増加			
52	destroy	〜を破壊する，〜を殺す，滅ぼす			
52.1	destruction	破壊，破滅			
52.2	destructive	破壊的な			
53	apply	当てはまる，〜を当てはめる，応用する，申し込む			
53.1	application	応用，適用，申し込み			
53.2	applicant	志願者，応募者			
54	seek	〜を求める，得ようとする			
55	search	Aを捜す(+for A)，A（場所）を探る(+A)			
56	claim	〜と主張する，言い張る(+that〜，+to V)，〜を要求する，主張，要求			
57	draw	〜を引っ張る，引き出す，（注意）を引く，（図・絵）を（線を引いて）描く			
57.1	drawer	引き出し			
58	refuse	断る，辞退する(⇔accept)，Vするのを拒む(+to V)			
58.1	refusal	拒否，拒絶			
59	respond	Aに返答する，Aに反応する(+to A)			
59.1	response	返答(=answer)，反応			
60	mention	〜について述べる，言及する			
61	judge	〜を判断する，〜を裁判する，裁判官，審判員			
61.1	judgement	判断			
62	approach	(〜に)接近する，（問題など）に取り組む，方法，接近(+to)			
63	admit	〜を認める(+that)，（人）の入場（入学）を許可する(=acknowledge)			
63.1	admission	入学（許可），入場（料），入会（金）			
64	reflect	〜を反映する，反射する，Aについてよく考える(+on A)			
64.1	reflection	反射，反映，熟考			
65	perform	〜を行う，〜を遂行する，〜を演じる			
65.1	performance	遂行，実行，演技，上演，性能，できばえ，成績			
66	bore	（人）をうんざりさせる，退屈なもの（人）			
66.1	boring	（人を）退屈させる			
66.2	bored	（人が）退屈している			
66.3	boredom	退屈			
67	survive	生き残る，長生きする			
67.1	survival	生存，生き残ること			
68	represent	〜を表す，示す，〜を代表する			
68.1	representation	代表，表現			
68.2	representative	代表者，代表の，表している			
69	argue	〜と主張する(+that)，（〜を）議論する			
69.1	argument	議論，主張，論争，口論			
70	grant	認める，与える，叶えてやる			
71	indicate	指し示す，表す			
72	belong	所属している，（〜の）所有物である			
73	acquire	（技術など）を習得する，獲得する			
73.1	acquisition	修得			
73.2	acquired	修得された，後天的な			
74	reply	返事をする，（～と）答える(+to)，返事			
75	feed	〜にエサをやる，〜を養う			
76	escape	逃げる，まぬがれる(+from)，〜を避ける，逃亡，逃げ道			
77	replace	〜に取って代わる，〜を取り換える(=take the place of〜)，〜を元の場所に戻す			
77.1	replacement	取り替え，代用品			
78	reveal	〜を明らかにする，知らせる			
78.1	revelation	暴露，発覚，新発見			
79	surround	〜を取り囲む			
79.1	surroundings	環境，周囲の状況			
80	suit	〜に合う，適する，似合う			
80.1	suitable	適した			
81	estimate	〜を推定する，〜を評価する，見積もり			
81.1	underestimate	〜を過小評価する			
82	aim	Aをねらう(+at A)，目指す，AをBに向ける(+A at B)，目的(=purpose, intention)			
83	earn	（金）を儲ける，稼ぐ，（評判など）を得る			
84	decline	衰退する，低下する，〜を辞退する，衰退，低下			
85	afford	〜をする余裕がある，〜を与える			
85.1	affordable	手頃な値段の			
86	confuse	〜を当惑させる，〜を混乱させる，〜を混同する			
86.1	confused	当惑した，混乱した			
86.2	confusing	（人）を当惑させる			
86.3	confusion	混乱，混同，当惑			
87	graduate	Aを卒業する(from A)，卒業生，大学院生(=graduate student)			
87.1	graduation	卒業			
87.2	undergraduate	大学生			
88	vary	変わる，さまざまである，〜を変える			
88.1	various	さまざまな			
88.2	varied	さまざまな，変化に富んだ			
88.3	invariably	いつも，変わることなく			
88.4	variation	変化，差異			
89	remove	〜を移す，取り去る，〜を脱ぐ(=take off)			
89.1	removal	除去，移動			
90	insist	〜と主張する，言い張る			
91	examine	〜を調査する，検査する，試験する			
91.1	examination	試験(=exam)，調査			
92	remind	AにBのことを思い出させる(+A of B)			
93	contribute	Aに貢献する，Aの一因となる(+to A)，AをBに寄付する(+A to B)			
93.1	contribution	貢献，寄付			
94	warn	（人）に警告する			
94.1	warning	警告，警報			
95	connect	〜をつなぐ，関係づける，つながる(=link)			
95.1	connection	結びつき，関係			
96	match	〜に匹敵する，〜に調和する(= go with)，試合，競争相手，よくつり合う人・物			
97	focus	焦点を合わせる，集中する，焦点，Aに焦点を合わせる(+on A)			
98	reject	〜を断る，拒絶する			
98.1	rejection	拒絶，拒否			
99	convince	（人）を納得させる，確信させる			
99.1	conviction	確信			
99.2	convincing	説得力のある			
100	associate	AをBに関連付ける，AからBを連想する(+A with B)，Aとつきあう(+with A)，仲間			
100.1	association	協会，連想，交際			
101	rush	急いでいく，急いでする，急ぎ，突進			
102	stress	〜を強調する，緊張，ストレス，強調			
102.1	stressful	ストレスの多い			
103	attract	（人・注意）をひきつける，魅惑する			
103.1	attractive	魅力的な			
103.2	attraction	魅力，引きつけるもの			
104	rely	Aに頼る，Aを信頼する(+on A)			
104.1	reliable	信頼できる，当てになる			
104.2	reliance	依存，信頼			
105	regret	〜を後悔する，残念に思う，後悔，遺憾			
105.1	regretful	（人が）後悔している			
105.2	regrettable	（物事が）残念な，悲しむべき			
106	adopt	（理論・技術など）を採用する，〜を養子にする			
106.1	adoption	採用，養子縁組			
107	shake	〜を振る，震える，〜を動揺させる			
108	hurt	〜を傷つける，痛む，傷			
109	operate	（機械などが）作動する， （機械など）を操作する，手術する(+on)			
109.1	operation	手術，活動，軍事行動，操作			
110	extend	〜を広げる，延長する，広がる			
110.1	extent	程度，範囲			
110.2	extensive	広範囲な			
110.3	extension	延長，増大			
111	blame	〜を非難する，〜のせいにする，非難，責任			
112	consist	Aで構成されている(+of A)，Aに依存する(+in A)			
113	persuade	〜を説得する，〜を信じさせる			
113.1	persuasion	説得			
113.2	persuasive	説得力のある			
114	admire	〜に感心する，〜を賞賛する			
114.1	admiration	感嘆，賞賛			
114.2	admirable	賞賛すべき，立派な			
115	disappoint	〜を失望させる			
115.1	disappointed	（人が）がっかりした(+with, at)			
115.2	disappointing	（人を）がっかりさせる			
115.3	disappointment	失望			
116	expand	（〜を）拡大する，増大する，膨張する			
116.1	expansion	拡大，進展			
117	preserve	〜を保護する，保存する，〜を保つ，〜を維持する			
117.1	preservation	保護，保存，維持			
118	struggle	苦闘する，努力する，もがく，（〜に）取り組む(+with)，努力，苦闘(+for)			
119	arrange	（会合など）の手筈を整える，〜を手配する，〜を配列する			
119.1	arrangement	準備，整理，配列			
120	disturb	（人・仕事など）をさまたげる(=interrupt)，（人）を不安にする(worry)			
120.1	disturbance	混乱，妨害			
120.2	disturbing	人を不安にする			
121	employ	〜を雇う，〜を用いる(=use)			
121.1	employee	従業員			
121.2	employment	雇用，職，使用			
121.3	unemployment	失業			
122	engage	Aに従事する，参加する，Aを行う(+in A)			
122.1	engagement	約束，婚約			
123	abandon	〜を捨てる，放棄する			
124	display	〜を展示する，〜を表す，〜を誇示する			
125	encounter	〜に偶然出会う，（問題など）にぶつかる，出会い，遭遇			
126	amuse	楽しませる，笑わせる			
126.1	amusing	（人にとって）ゆかいな，楽しい			
126.2	amused	（人が）おもしろがっている			
126.3	amusement	楽しみ，娯楽			
127	bother	（人）に面倒をかける，困らせる，（〜を）気にする，面倒，やっかいなもの			
128	concentrate	集中する，（注意など）を集中させる			
129	adapt	AをBに適応させる(+A to B)，慣れさせる，適応する，〜を改変する			
129.1	adaptation	適応，順応			
129.2	adaptable	適応力がある			
130	puzzle	〜を当惑させる(=confuse)，困らせる，難問，パズル			
130.1	puzzled	とまどって，当惑して			
131	appeal	（理性・感情）に訴える(+to)，（人）に求める，（人）を引きつける，魅力，訴え			
131.1	appealing	魅力的な			
132	combine	〜を結合させる，組み合わせる，結合する(+with)			
132.1	combination	結合，組み合わせ			
133	delay	〜を遅らせる，延期する，遅れ，延期			
134	repair	〜を修理する，〜を修復する，修理			
134.1	mend	（衣服など）を繕う，修理する			
135	fascinate	（人）を夢中にさせる，〜の興味をかきたてる			
135.1	fascinating	魅力的な，非常におもしろい			
135.2	fascinated	夢中になった			
135.3	fascination	魅惑，魅力			
136	pardon	〜を許す，許し，容赦			
137	import	〜を輸入する，輸入，輸入品			
138	remark	（〜と）述べる，言う(=say)(+that)，意見，言葉			
138.1	remarkable	注目すべき，珍しい			
139	reserve	〜を予約する，〜を取っておく(=set aside)，蓄え，埋蔵量，保護区			
139.1	reservation	予約，指定			
139.2	reserved	控えめな，予約している			
140	amaze	〜を驚嘆させる			
140.1	amazing	感嘆すべき，見事な，信じ難い			
140.2	amazed	（人が）驚いている			
141	frighten	（人）を怯えさせる，ぞっとさせる			
141.1	frightening	ぞっとするような			
141.2	frightened	おびえている(+of, by)			
142	release	〜を解放する，自由にする，〜を発表する，（ガスなど）を放出する，解放，公表			
143	rent	（家・車など）を賃借りする，〜を賃貸しする，家賃，使用量			
143.1	rental	賃貸しの，使用量			
143.2	lease	賃貸契約，（土地・建物など）を賃貸する，賃借する			
144	recover	Aから回復する(+from A)，〜を取り戻す			
144.1	recovery	回復，取り戻すこと			
145	suspect	～ではないかと思う，（人・もの）を疑う，容疑者，疑わしいもの			
145.1	suspicion	容疑，疑い			
145.2	suspicious	疑い深い，疑わしい			
146	deliver	〜を配達する，渡す，（講義など）をする			
146.1	delivery	配達			
147	identify	〜の正体を突き止める，Aと共感する(+with A)			
147.1	identification	身元確認，身分証明，同一視，一体化			
147.2	identity	身元，正体，独自性			
147.3	identical	同一の			
148	locate	（Aに）位置する(\textit{be} located [in, on, at] A)，ある，〜の場所を見つける			
148.1	location	位置，場所，ロケ			
148.2	relocate	〜を移転させる，移転する			
149	manufacture	〜を製造する，（大量に）生産する，製造，生産，製品			
149.1	manufacturer	製造業者，メーカー			
150	occupy	（場所・地位など）〜を占める			
151	own	〜を所有している，〜を持っている，自分自身の			
152	expose	AをBにさらす(+A to B)，あばく			
152.1	exposure	露出，暴露，露光			
153	translate	〜を翻訳する，〜を変える			
153.1	translation	翻訳			
154	cure	〜を治療する，（悪い習慣など）を直す，治療法			
155	perceive	〜を知覚する，〜に気付く，〜と思う，理解する			
155.1	perception	知覚，認識			
156	adjust	（環境に）慣れる(=adapt)(+to)，調節して合わせる			
156.1	adjustment	調整，適応			
157	alarm	〜をぎょっとさせる，怯えさせる(=scare)，警報，驚き，不安			
157.1	alarming	驚くべき，不安にさせる			
157.2	alarmed	ぎょっとした			
158	assist	（〜を）助ける，手伝う			
158.1	assistant	助手			
158.2	assistance	援助			
159	freeze	凍り付く，動かなくなる			
159.1	frozen	凍った，冷凍の			
160	spoil	〜を台無しにする			
161	shift	〜を変える，移す，変化，移動，交替			
162	embarrass	〜を困惑させる，〜に恥ずかしい思いをさせる			
162.1	embarrassed	（人が）当惑している，恥ずかしい気持ちの			
162.2	embarrassing	（人を）当惑させる，きまり悪くさせる			
162.3	embarrassment	困惑，困難			
163	approve	賛成する(+of)，〜を承認する			
163.1	approval	賛成，承認			
164	weigh	〜の重さがある，〜を比較検討する，よく考える，Aを苦しめる(+on)			
164.1	weight	重さ			
164.2	overweight	太り過ぎの，肥満，太り過ぎ，過重			
165	stretch	〜を広げる，伸ばす(+out)，広がる，伸びる，広がり，期間			
166	participate	Aに参加する(+in A)			
166.1	participation	参加			
166.2	participant	参加者			
167	exhibit	〜を展示する，示す(=display)，展示物，展覧会			
167.1	exhibition	展覧会，展示			
168	owe	AのことはBのおかげだ，AをBに借りている(+A to B)			
169	celebrate	〜を祝う，（儀式）を行う			
169.1	celebration	祝い			
169.2	celebrated	名高い(=famous)			
169.3	celebrity	有名人			
170	decorate	〜を装飾する，〜に飾りをつける			
170.1	decoration	装飾（品）			
170.2	ornament	飾り，装飾（品）			
171	forgive	（過ち・人）を許す			
172	seat	座っている(\textit{be} seated)，（人数）を収容する，座席			
173	injure	〜を傷つける，けがさせる			
173.1	injury	負傷，害			
174	sew	～を縫う			
175	result	結果，結果になる			
176	feature	特徴，呼び物，特集記事，顔立ち，〜を（雑誌などで）取り上げる，特集する			
177	society	社会，協会，団体，学会，交際，つきあい			
177.1	social	社会の，社交の			
177.2	sociable	交際上手な，社交的な			
177.3	sociology	社会学			
178	wheel	車輪，ハンドル，（車輪のついたもの）を動かす，向きを変える			
178.1	wheelchair	車いす			
179	value	価値，価値観，〜を評価する			
179.1	valuable	貴重な			
179.2	invaluable	きわめて貴重な			
180	effect	効果，影響(=influence)，結果(=result)			
180.1	effective	効果的な			
181	individual	個人，個人主義的な，個々の			
181.1	individualism	個人主義			
181.2	individuality	個性			
182	influence	影響（力），支配力，〜に影響を与える			
182.1	influential	影響力のある，有力な			
183	fee	謝礼，料金			
184	rate	割合，率，速度，料金，〜を評価する			
184.1	rating	格付け，評価			
185	sign	印，記号，兆候，〜に署名する			
185.1	signal	信号（機），合図			
185.2	signature	署名			
186	service	（公益）事業，設備，業務，勤務，サービス			
187	advance	前進，進歩，前進する，〜を前進させる			
187.1	advanced	進歩した，上級の			
187.2	advancement	昇級，進歩，促進			
188	laughter	笑い，笑い声			
189	material	物質，材料，資料，教材，物質の，物質的な(⇔spiritual)			
189.1	materialism	唯物論			
190	industry	工業，産業			
190.1	industrial	工業な，産業の			
190.2	industrialized	工業化した			
190.3	industrious	勤勉な			
191	attempt	試み，くわだて(+to V)，〜を試みる，くわだてる(+to V)			
192	trade	貿易，商売，貿易する，取り引きする			
193	progress	進歩，前進（不可算），進歩する，前進する			
193.1	progressive	進歩的な			
194	excuse	言い訳，口実，〜の言い訳をする，（人・行為）を許す(=forgive)			
195	custom	習慣，税関(〜s)			
195.1	customary	習慣的な，慣例			
195.2	customer	（店などの）客，得意客			
196	passage	一節，経過，通行，通路			
197	economy	経済，財政，節約，安価な			
197.1	economic	経済の，財政の			
197.2	economical	節約できる，安上がりの			
198	track	小道，足跡，鉄道，〜の足跡を追う			
199	transportation	交通機関，輸送			
199.1	transport	交通機関，輸送，〜を運ぶ，輸送する			
200	official	役人，公務員，職員，公の，公式の			
201	sight	見ること，光景，視力			
201.1	sightseeing	観光，見物			
201.2	catch sight of A	Aを見つける			
201.3	in sight	見えるところに			
202	taste	味，味覚，好み，〜を味見する，〜の味がする			
202.1	bite	〜を噛む，噛みつく，噛むこと			
202.2	swallow	〜を飲み込む			
202.3	chew	（食べ物）を噛んで食べる，噛む			
203	range	範囲，領域，（範囲などが）及ぶ，またがる			
204	appointment	（人と会う）約束，（医院などの）予約			
204.1	appoint	（会う日時・場所）を指定する，〜任命する			
205	patient	患者，忍耐強い			
205.1	patience	忍耐（力），我慢			
206	project	計画，企画，〜を見積もる，予測する			
207	favor	好意，親切，〜を支持する，好む			
207.1	favorite	一番好きな，お気に入りの物（人）			
207.2	favorable	（人に）好意的な，有利な			
208	appearance	外見，様子，出現			
208.1	appear	〜に見える，現れる			
208.2	disappear	消える			
209	risk	危険，危険性，（命など）を賭ける，〜を覚悟でやる			
209.1	risky	危険な			
210	benefit	利益，恩恵，〜の利益になる			
210.1	beneficial	有益な			
211	resident	住民，滞在者，住んでいる			
211.1	residence	住宅，家			
211.2	residential	居住用の，住宅の			
211.3	reside	住む，存在している			
212	relative	親族，親戚，相対的な，比較上の			
212.1	relativity	相対性			
213	region	地域，地方，領域，分野			
213.1	regional	地域の，地方の			
214	characteristic	特徴，特色，特有の			
215	pain	苦痛，苦労，骨折り(〜s)(=trouble)			
215.1	painful	痛い，骨の折れる			
216	twin	双子の一方，双生児，双子の			
217	occasion	場合，機会，行事(=event)			
217.1	occasionally	時々			
218	principle	原理，原則，主義，信念			
219	department	部門，科，省，（大学などの）学科			
220	duty	義務，任務，関税			
220.1	duty-free	免税の			
221	scene	場面，現場，眺め，光景			
221.1	scenery	風景，景観			
221.2	scenic	風景の，景色のよい			
222	jam	渋滞，込み合い			
222.1	congestion	渋滞，うっ血，充血			
223	spirit	精神，霊，気分			
223.1	spiritual	精神的な，霊的な			
224	medium	手段，媒体，中間の			
225	mass	一般大衆(the masses)，多くのA(a mass of A)，かたまり			
225.1	massive	大きくて重い，大規模の			
226	audience	聴衆，観客			
227	element	要素(=factor)，元素，自然の力(the elements)，悪天候			
227.1	elementary	初歩の			
228	climate	気候，状況(=situation)，雰囲気(=atmosphere)			
229	revolution	革命，回転			
229.1	revolutionary	革命の，革命的な			
229.2	revolve	回転する，循環する			
230	quarter	4分の1（15分，25セント，四半期など）			
230.1	quarterly	年4回の，季節誌			
231	furniture	家具			
231.1	furnish	（家具など）を備えつける			
231.2	cupboard	食器棚			
231.3	closet	押し入れ，戸棚			
232	brain	脳，知的指導者			
232.1	brainstorm	自発的議論で案を出し合う，ブレインストーミングする			
233	atmosphere	大気，空気，雰囲気			
233.1	atmospheric	大気の			
234	property	財産，資産，特性			
235	reward	報酬，懸賞金(+for)，～に報いる			
235.1	rewarding	やりがいのある			
236	security	安全，安心，防衛，警備			
236.1	secure	安全な，しっかりした，〜を確保する，〜を守る			
237	delight	大喜び，喜ばしいもの，〜を喜ばせる，喜ぶ(+in)			
237.1	delighted	（人が）喜んでいる			
237.2	delightful	（人を）楽しませる			
238	desert	砂漠，〜を放棄する，見捨てる			
238.1	deserted	ひっそりした			
239	background	背景，生い立ち，経歴			
240	trend	傾向，流行			
240.1	trendy	最新流行の			
241	vote	投票，選挙権，投票する			
242	impact	影響，効果(=effect)，衝撃，衝突			
243	institution	機関，組織，施設，制度			
243.1	institute	研究所，（制度）を設ける			
244	interaction	交流，やりとり(=communication)，相互作用			
244.1	interact	交流する，つきあう，影響し合う			
244.2	interactive	双方向の，対話式の			
245	alternative	代わりのもの，選択肢(+to)，代わりになる，選択可能な，2つに1つの			
245.1	alternate	〜を交互にする，交互の			
246	harm	害，危害，〜に害を与える，危害を加える			
246.1	harmful	有害な			
246.2	harmless	無害な			
246.3	damage	〜に損害を与える，損害			
247	agency	機関，局，代理店／作用，働き			
247.1	agent	業者，代理店（員）			
248	capacity	能力(+to V, for)，収容力，容積			
249	minister	大臣，牧師			
249.1	ministry	省			
250	volunteer	ボランティア，志願者，〜を進んで申し出る			
250.1	voluntary	自発的な，志願の			
251	access	利用する権利，接近，入手			
251.1	accessible	利用できる			
252	quantity	量			
253	branch	枝，支店，支局，部門，分野			
253.1	bough	大枝			
253.2	trunk	幹			
254	common	共通の，公共の，普通の			
254.1	commonplace	ありふれた			
255	rough	荒い，手荒い，大雑把な，つらい，厳しい			
256	likely	ありそうな，〜する可能性が高い，たぶん，おそらく			
256.1	likelihood	可能性，見込み			
257	serious	深刻な，重大な，真剣な，まじめな			
258	particular	ある特定の，特有の，好みのやかましい(+about)			
258.1	particularly	特に			
259	available	手に入る，利用できる，手が空いている(=free)			
260	bilingual	二言語使用の，二言語使用者			
260.1	monolingual	一言語使用の，一言語使用者			
260.2	multilingual	多言語使用の，多言語使用者			
261	ready	用意ができた，進んでVする(\textit{be} ready to V)			
261.1	readily	快く，進んで，容易に			
261.2	ready-made	できあいの，既製の			
262	correct	正しい，適切な(=right)，〜を訂正する			
263	familiar	熟知している，詳しい，よく知られた			
263.1	familiarity	親しい関係，熟知			
264	physical	身体の，肉体の(⇔spiritual)，物理的な，物質の			
264.1	physics	物理学			
264.2	physicist	物理学者			
265	worth	Aの価値がある(\textit{be} worth A)，Vする価値がある(\textit{be} worth Ving)，価値			
266	involved	Aに関係している(\textit{be} involved in A)，参加している			
266.1	involve	〜を伴う，含む，〜を巻き込む，関係させる			
266.2	involvement	かかわり合い，関与			
267	fantastic	すばらしい，空想の(=unreal)			
267.1	fantasy	幻想			
268	private	個人の，私的な			
268.1	privacy	プライバシー，秘密			
269	obvious	明白な			
269.1	obviously	明らかに			
270	native	母国の，ある土地生まれの人			
271	complex	複雑な，建物の集合体			
271.1	complexity	複雑さ			
272	willing	Vする気がある，Vしても構わない(\textit{be} willing to V)，積極的な，自発的な			
272.1	willingly	進んで，快く			
272.2	willingness	進んですること（気持ち）			
273	current	最新の，現時点の，流れ，風潮			
273.1	currency	通過			
274	male	男の，雄の，男，雄			
275	proper	適切な，ふさわしい，礼儀正しい			
276	capable	〜する能力がある，〜する可能性がある，有能な			
276.1	capability	能力			
277	independent	独立した			
277.1	independence	独立(+from)			
278	positive	積極的な，前向きの，肯定的な，明確な，（人が）確信している(=sure)			
278.1	positively	確かに，きっぱりと			
279	pleasant	（人にとって）楽しい，愉快な(=pleasing)，心地よい			
279.1	pleased	（人が）喜んでいる，満足している			
279.2	please	〜を喜ばす，〜を満足させる			
279.3	pleasure	喜び，楽しみ			
280	significant	重要な，意味のある，かなり多くの			
280.1	significance	重要性			
280.2	signify	〜を示す，意味する			
281	former	前の，昔の，前者(the former)（⇔後者the later）			
281.1	formerly	以前は，昔は			
282	chemical	化学的な，化学物質			
282.1	chemistry	化学，化学的な性質			
282.2	chemist	化学者			
283	upset	（人が）動揺している，取り乱している，（人）の心を乱す，（計画など）を駄目にする			
284	previous	前の，以前の			
284.1	previously	以前に，前もって			
285	calm	冷静な，静かな，静まる，〜を静める，静けさ，落ち着き			
286	specific	特定の，特有の，明確な，具体的な			
286.1	specifically	特に，明確に，正確にいえば			
287	conscious	意識している，意識的な			
287.1	self-conscious	恥ずかしがる，人の目を気にする			
288	superior	より優れている，勝っている，上役，上司			
288.1	superiority	優越，優勢			
289	efficient	効率がいい，（人が）有能な			
289.1	efficiency	能率			
290	fundamental	基本的な，初歩の，根本的な，基本事項，原則(〜s)			
291	narrow	狭い，細い，〜を狭くする			
291.1	narrowly	かろうじて，危うく(=barely)，狭く			
292	reasonable	理にかなった，適切な，手頃な，安い			
293	nervous	神経質な，不安な，神経の			
293.1	nerve	神経，勇気，ずうずうしさ			
294	alike	似ている，同様な，同様に			
294.1	likewise	同様に			
295	domestic	家庭の，家庭的な，国内の(⇔foreign)			
295.1	domesticated	飼いならされた			
296	negative	否定の，拒否の，消極的な			
297	moral	道徳的な，道徳の，道徳(〜s)			
297.1	morality	道徳（性）			
298	eager	熱望している，熱心な，強くVしたがる(\textit{be} eager to V)			
298.1	eagerly	熱心に			
299	remarkable	すばらしい，すぐれた			
299.1	remark	（〜と）述べる，言う			
299.2	remarkably	著しく，目立って，珍しく			
300	evil	（道徳的に）悪い，邪悪な，悪，悪事			
301	awake	目を覚まして，目覚める，〜を目覚めさせる(=wake)			
301.1	awaken	〜を目覚めさせる，目覚める			
302	aged	年老いた，老齢の(=very old)，〜歳の，高齢者(the aged)			
302.1	age	年齢，時代，年老いる			
303	anxious	心配して，切望して			
303.1	anxiety	心配，不安			
304	tough	たくましい，骨の折れる			
305	nuclear	核の，原子力の			
306	legal	合法の，法律の，法的な			
307	curious	好奇心が強い，知りたがる(+about)，奇妙な			
307.1	curiosity	好奇心，珍奇な物			
308	civil	一般市民の，国内の			
308.1	civilian	民間人			
309	recent	最近の，近頃の			
309.1	recently	最近，先頃			
309.2	nowadays	近頃，今日では			
310	senior	上級の，先輩の，最上級生，上役			
311	afterward	その後，のちに			
312	nearly	ほとんど，ほぼ(=almost)，危うく〜しかける			
312.1	nearby	近くに，近くの			
313	therefore	それゆえに，従って(=and so)			
314	exactly	正確に，完全に，全くそのとおりです			
314.1	exact	正確な			
315	possibly	ひょっとすると，どうしてもVできない(cannot possibly V)			
315.1	possible	可能な			
315.2	possibility	可能性			
316	contrary	反対に，逆に，反対の			
317	occasionally	時々，たまに			
317.1	occasional	時々の，時折の			
318	somehow	どういうわけか，なぜか			
319	seldom	めったに～ない			
320	thus	それゆえ(=therefore)，そのように(=in this way)，これほど			
321	throughout	（場所）のいたる所に，（時間）を通して，〜の間中，ずっと			
322	unlike	～と違って，〜に似ず			
323	besides	〜に加えて，～の上に，その上に			
324	beyond	～の向こうに，〜をこえて，〜できる範囲をこえて			
325	within	（時間・距離）以内で，〜の内部に，〜の範囲内で			
