番号	英単語	和訳	処理用	例文1（英語）	例文1（日本語）
320	suite	一続きの部屋・スイートルーム／一式・一組		The hotel offers luxurious \enword{suite}s with ocean views.\footnotemark[1]	そのホテルはオーシャンビューの豪華な\jpword{スイートルーム}{}を提供しています。
321					
322					
323	cooperation	協力		Thank you very much for your \enword{cooperation} in this survey.	調査にご\jpword{協力}{}いただき、ありがとうございました。
324					
325					
326					
327					
328					
329					
330					
331					
332					
333	reminder	思い出させるもの・リマインダー		As a \enword{reminder}, you have not yet returned the 10 yen.	\jpword{改めてお伝え}{するもの}しますが、まだ10円を返していただいていません。
334					
335					
336					
337	available	スタンバイOK｜利用できる／／手に入る／／都合がつく・空いている		This content is also \enword{available} for the deaf.	このコンテンツは耳が不自由な方にも\jpword{利用可能}{}です。
338					
339	leave	ほったらかす｜残す・置き忘れる／／出発する／／預ける・任せる／／休暇／／許可			
340	charge	プレッシャーをかける｜請求する／料金／／非難（する）／／委ねる／責任／／充電（する）		You should \enword{charge} him for the electricity.	彼に電気代を\jpword{請求す}{る}べきだ。
341					
342					
343	arrangement	きちんと並べること｜配置／／取り決め・手配		We made travel \enword{arrangement}s with a different agency than the one we used last year.	昨年とは別の業者に旅行の\jpword{手配}{}を依頼した。
344					
345					
346	order	上から下への順番｜順序／／秩序／／整頓／／命令／／注文		display items in reverse \enword{order}	表示項目を逆\jpword{順}{}で表示する
347					
348					
349					
350					
351					
352					
353					
354					
355					
356					
357					
358					
359					
360					
361					
362	term	限られた一定空間｜期間／／用語／／条件(terms)間柄(terms)		dictate surrender \enword{terms} to a defeated enemy	敗北した敵に降伏\jpword{条件}{}を指示する
363					
364					
365					
366					
367					
368					
369					
370	object	物を投げつける｜物／／対象／目的／／目的語／／反射する		No one can \enword{object} to his opinion, so this meeting is meaningless.	彼の意見に誰も\jpword{反対}{する}できないため、この会議は意味がない。
371					
372	wear	すり減らす｜着る・身に着けている／／すり減らす／摩耗／／疲れされる		These tires can be reused by replacing the surface when they become \enword{worn}.	このタイヤは\jpword{摩耗}{した}際に表面を交換することで再利用可能です。
373					
374					
375					
376					
377	practice	（何度も）実行する｜実行（する）／／習慣的に行う／習慣／／（医師／弁護士が）開業する／業務／診療所／／練習（する）		She is \enword{practicing} the health methods she saw in the video.	彼女は動画で見た健康法を\jpword{実践している}{}。
378					
379					
380					
381					
382					
383					
384					
385	stage	立っている場所｜舞台／／段階・時期／／主催する・計画する		That method is not appropriate at this \enword{stage}	この\jpword{段階}{}では、その方法は適切ではありません。
386					
387					
388					
389					
390					
391					
392					
393					
394	proceed	進む・進める			
395					
396					
397					
398					
399					
400	deserve	値する		He \enword{deserved} to be arrested.	彼は逮捕\jpword{されて当然}{}でした。
401	resolve	解決する・決心するｘ		Her attempt to \enword{resolve} the issue ended up in failure.	彼女の問題\jpword{解決}{する}の試みは結局失敗に終わった。
402					
403					
404	proceed	進む・進める		It's impossible to \enword{proceed} anymore. I'll fall.	これ以上\jpword{進む}{}ことは不可能だ。落ちてしまう。
405	undergo	経験する・受ける		\enword{undergo} the cleaning of the front of the house	家の前の掃除を\jpword{引き受ける}{}
406					
407					
408					
409					
410	prospect	見込み・可能性		There is no \enword{prospect} that this machine will work again.	この機械が再び動作する\jpword{見込み}{}はない。
411	consent	同意／同意する		The merchant did not sell me the goods because he did not obtain my \enword{consent}.	\jpword{同意}{}が得られなかったため、商人は私に商品を売らなかった。
412	phase	段階		\enword{phase} of purification of the product	生成物の精製の\jpword{段階}{}
413					
414					
415	engage	従事する・従事させる／（関心を）引きつける		Did you \enword{engage} in the school festival with enthusiasum?	熱意を持って学園祭に\jpword{取り組}{む}みましたか？
416	engagement	関わり／約束・予定		I have a prior \enword{engagement}.	先の\jpword{予定}{}が入っている
417					
418					
419					
420					
421					
422					
423					
424					
425					
426					
427					
428					
429					
430					
431	execute	実行する		\enword{execute} a suicide mission	特攻を\jpword{実行する}{}
432					
433					
434					
435					
436					
437	stress	強調する／／ストレス・強調		I can't remember what the teacher \enword{stress}ed at that time.	あの時先生が何を\jpword{強調}{する}していたか思い出せない。
438					
439					
440					
441					
442					
443					
444					
445					
446					
447					
448					
449					
450					
451					
452					
453					
454					
455					
456					
457					
458					
459					
460					
461					
462	project	見積もる・予測する／／プロジェクト		We \enword{project} that $\rm CO_2$ emissions will be reduced by 20\% once this process is commercialized.	このプロセスが実用化されれば、$\rm CO_2$排出量は20\%削減されると\jpword{予測}{する}しています。
463					
464					
465					
466					
467					
468					
469					
470					
471					
472					
473					
474					
475	manner	方法・態度・行儀・風習		His programming \enword{manner} reflects his meticulous personality.	彼のプログラミングの\jpword{やり方}{}は、几帳面な性格を示している。
476					
477					
478					
479					
480					
481					
482					
483					
484					
485					
486					
487					
488					
489					
490	reluctant	したがらない		He is \enword{reluctant} to wear clothes other than black.	彼は黒以外の服を着たがらない\jpword{}{したがらない}。
491					
492					
493					
494					
495					
496					
497					
498					
499					
500					
501					
502					
503					
504					
505					
506					
507					
508	strictly	厳しく・厳密に		If you use this equipment, \enword{strictly} adhere to these rules.	この機器を使用する場合は、これらの規則を\jpword{厳}{に}守してください。
509					
510					
511					
512					
513					
514	receipt	領収書・受け取ること		Please write the payer's name and purpose on the \enword{receipt}.	\jpword{領収書}{}に支払者の名前と支払目的を記入してください。
515					
516					
517					
518	substantial	かなりの・頑丈な		This robot consumes a \enword{substantial} amount of electricity.	このロボットには\jpword{かなりの}{}量の電力が使用される。
519					
520	sizable	かなりの・かなり大きな		This university has a \enword{sizeable} campus, but it seems to have unnecessary spaces.	この大学は\jpword{かなり大きな}{}キャンパスを有しているが、無駄なスペースがあるように思える。
521					
522					
523					
524					
525					
526					
527					
528					
529	critical	危機的な／重要な／批評家による／批判的な		I cannot repair it since a \enword{critical} part is out of stock.	\jpword{重要な}{}部品が在庫切れのため、修理できない。
530					
531	publicity	注目・評判・宣伝		That organization was good at \enword{publicity}.	その団体は\jpword{宣伝}{}がうまかった。
532					
533					
534					
535					
536					
537					
538					
539	visible	目に見える・明白な		This element can detect the intensity of \enword{visible} rays.	この素子は\jpword{可視}{な}光の強度を検出できます。
540					
541					
542					
543					
544					
545					
546					
547					
548					
549					
550	customary	習慣的な・普通の		This is the \enword{customary} greeting among this community.	これはこのコミュニティにおける\jpword{慣習的な}{}挨拶です。
551	unwavering	ゆるぎない・断固とした		She always has \enword{unwavering} fans.	彼女にはいつでも\jpword{揺るぎない}{}ファンが存在する。
552					
553					
554					
555					
556					
557					
558					
559					
560	intstallment	（分割払いの）1回分・（連続番組などの）1回分		How could you buy such a car? --- I bought it with \enword{monthly installments}.	どうしてそんな車を買えたの？ --- \jpword{月々の分割払い}{}で買ったんだ。
561	strain	緊張・負担／／緊張させる・負担をかける		I'm worried you might carry too much \enword{strain}.	あなたが\jpword{負担}{}を背負いすぎていないかが心配です。
562					
563					
564					
565					
566					
567	pile / stack	積み重ねる／／積み重ね		Sandpaper is \enword{pile}d up near the drawer.	サンドペーパーは引き出しのそばに\jpword{積み上げ}{る}られている。
568					
569					
570	mount	取り付ける		We're starting to \enword{mount} the propeller!	プロペラの\jpword{取り付け}{る}開始します！
571					
572	browse	見て回る・ざっと読む・閲覧する		It is enjoyable to just \enword{browse} the products.	商品を\jpword{見てまわる}{}だけでも楽しめる。
573					
574					
575	shade	日陰／／影を作る		That bench is \enword{shaded}. Let's move over there.	あそこのベンチは\jpword{日陰}{}だ。そっちに移動しよう。
576					
577					
578					
579	shelter	避難（所）・雨宿りの場所／／保護する・避難する		``The Geofront \enword{shelter} is up ahead.''	「この先ジオフロントの\jpword{避難所}{}だ。」
580					
581					
582					
583					
584					
585					
586					
587					
588					
589	pedestrian	歩行者		Urban planning with full consideration for \enword{pedestrian}s	\jpword{歩行者}{}を十分に考慮した都市計画
590					
591					
592					
593					
594					
595					
596					
597					
598					
599					
600					
601					
602					
603					
604					
605					
606					
607					
608					
609					
610					
611					
612					
613					
614					
615					
616					
617					
618					
619					
620					
621					
622					
623					
624					
625					
626					
627					
628					
629					
630					
631					
632					
633					
634					
635					
636					
637					
638					
639					
640					
641					
642					
643					
644					
645					
646					
647					
648					
649					
650					
651					
652					
653					
654					
655					
656					
657					
658					
659					
660					
661					
662					
663					
664					
665					
666					
667					
668					
669					
670					
671					
672					
673					
674					
675					
676					
677					
678					
679					
680					
681					
682					
683					
684					
685					
686					
687					
688					
689					
690					
691					
692					
693					
694					
695					
696					
697					
698					
699					
700					
701					
702					
703					
704					
705					
706					
707					
708					
709					
710					
711					
712					
713					
714					
715					
716					
717					
718					
719					
720					
721					
722					
723					
724					
725					
726					
727					
728					
729					
730					
731					
732					
733					
734					
735					
736					
737					
738					
739					
740					
741					
742					
743					
744					
745					
746					
747					
748					
749					
750					
751					
752					
753					
754					
755					
756					
757					
758					
759					
760					
761					
762					
763					
764					
765					
766					
767					
768					
769					
770					
771					
772					
773					
774					
775					
776					
777					
778					
779					
780					
781					
782					
783					
784					
785					
786					
787					
788					
789					
790					
791					
792					
793					
794					
795					
796					
797					
798					
799					
800					
801					
802					
803					
804					
805					
806					
807					
808					
809					
810					
811					
812					
813					
814					
815					
816					
817					
818					
819					
820					
821					
822					
823					
824					
825					
826					
827					
828					
829					
830					
831					
832					
833					
834					
835					
836					
837					
838					
839					
840					
841					
842					
843					
844					
845					
846					
847					
848					
849					
850					
851					
852					
853					
854					
855					
856					
857					
858					
859					
860					
861					
862					
863					
864					
865					
866					
867					
868					
869					
870					
871					
872					
873					
874					
875					
876					
877					
878					
879					
880					
881					
882					
883					
884					
885					
886					
887					
888					
889					
890					
891					
892					
893					
894					
895					
896					
897					
898					
899					
900					
